Energy,xx,yy,zz,xy,xz,yz
11.0634,-1.6239,-1.6239,-1.6239,0.1694,0.1694,0.1694
11.1001,-1.5810,-1.5810,-1.5810,0.1648,0.1648,0.1648
11.1369,-1.5963,-1.5963,-1.5963,0.1614,0.1614,0.1614
11.1736,-1.6701,-1.6701,-1.6701,0.1497,0.1497,0.1497
11.2104,-1.7499,-1.7499,-1.7499,0.1260,0.1260,0.1260
11.2471,-1.7802,-1.7802,-1.7802,0.1007,0.1007,0.1007
11.2839,-1.7602,-1.7602,-1.7602,0.0743,0.0743,0.0743
11.3206,-1.7271,-1.7271,-1.7271,0.0509,0.0509,0.0509
11.3574,-1.6767,-1.6767,-1.6767,0.0386,0.0386,0.0386
11.3941,-1.6167,-1.6167,-1.6167,0.0326,0.0326,0.0326
11.4309,-1.5602,-1.5602,-1.5602,0.0300,0.0300,0.0300
11.4677,-1.5085,-1.5085,-1.5085,0.0301,0.0301,0.0301
11.5044,-1.4660,-1.4660,-1.4660,0.0309,0.0309,0.0309
11.5412,-1.4524,-1.4524,-1.4524,0.0229,0.0229,0.0229
11.5779,-1.4577,-1.4577,-1.4577,0.0083,0.0083,0.0083
11.6147,-1.4483,-1.4483,-1.4483,0.0034,0.0034,0.0034
11.6514,-1.4269,-1.4269,-1.4269,0.0057,0.0057,0.0057
11.6882,-1.4038,-1.4038,-1.4038,0.0057,0.0057,0.0057
11.7249,-1.3788,-1.3788,-1.3788,0.0028,0.0028,0.0028
11.7617,-1.3658,-1.3658,-1.3658,0.0037,0.0037,0.0037
11.7985,-1.3536,-1.3536,-1.3536,0.0024,0.0024,0.0024
11.8352,-1.3306,-1.3306,-1.3306,-0.0081,-0.0081,-0.0081
11.8720,-1.3011,-1.3011,-1.3011,-0.0138,-0.0138,-0.0138
11.9087,-1.2618,-1.2618,-1.2618,-0.0086,-0.0086,-0.0086
11.9455,-1.2284,-1.2284,-1.2284,0.0033,0.0033,0.0033
11.9822,-1.2170,-1.2170,-1.2170,0.0102,0.0102,0.0102
12.0190,-1.2114,-1.2114,-1.2114,0.0115,0.0115,0.0115
12.0557,-1.2032,-1.2032,-1.2032,0.0142,0.0142,0.0142
12.0925,-1.2119,-1.2119,-1.2119,0.0182,0.0182,0.0182
12.1293,-1.2257,-1.2257,-1.2257,0.0148,0.0148,0.0148
12.1660,-1.2082,-1.2082,-1.2082,0.0116,0.0116,0.0116
12.2028,-1.1669,-1.1669,-1.1669,0.0165,0.0165,0.0165
12.2395,-1.1091,-1.1091,-1.1091,0.0215,0.0215,0.0215
12.2763,-1.0837,-1.0837,-1.0837,0.0237,0.0237,0.0237
12.3130,-1.1061,-1.1061,-1.1061,0.0197,0.0197,0.0197
12.3498,-1.1142,-1.1142,-1.1142,0.0131,0.0131,0.0131
12.3865,-1.1141,-1.1141,-1.1141,0.0085,0.0085,0.0085
12.4233,-1.1142,-1.1142,-1.1142,0.0070,0.0070,0.0070
12.4601,-1.1024,-1.1024,-1.1024,0.0049,0.0049,0.0049
12.4968,-1.0904,-1.0904,-1.0904,0.0018,0.0018,0.0018
12.5336,-1.0937,-1.0937,-1.0937,0.0001,0.0001,0.0001
12.5703,-1.1044,-1.1044,-1.1044,-0.0029,-0.0029,-0.0029
12.6071,-1.1058,-1.1058,-1.1058,-0.0058,-0.0058,-0.0058
12.6438,-1.1026,-1.1026,-1.1026,-0.0072,-0.0072,-0.0072
12.6806,-1.1143,-1.1143,-1.1143,-0.0135,-0.0135,-0.0135
12.7173,-1.1173,-1.1173,-1.1173,-0.0187,-0.0187,-0.0187
12.7541,-1.1077,-1.1077,-1.1077,-0.0166,-0.0166,-0.0166
12.7909,-1.0985,-1.0985,-1.0985,-0.0137,-0.0137,-0.0137
12.8276,-1.0785,-1.0785,-1.0785,-0.0118,-0.0118,-0.0118
12.8644,-1.0513,-1.0513,-1.0513,-0.0108,-0.0108,-0.0108
12.9011,-1.0219,-1.0219,-1.0219,-0.0115,-0.0115,-0.0115
12.9379,-0.9910,-0.9910,-0.9910,-0.0131,-0.0131,-0.0131
12.9746,-0.9637,-0.9637,-0.9637,-0.0158,-0.0158,-0.0158
13.0114,-0.9563,-0.9563,-0.9563,-0.0156,-0.0156,-0.0156
13.0481,-0.9619,-0.9619,-0.9619,-0.0120,-0.0120,-0.0120
13.0849,-0.9636,-0.9636,-0.9636,-0.0089,-0.0089,-0.0089
13.1216,-0.9599,-0.9599,-0.9599,-0.0056,-0.0056,-0.0056
13.1584,-0.9514,-0.9514,-0.9514,-0.0020,-0.0020,-0.0020
13.1952,-0.9448,-0.9448,-0.9448,0.0019,0.0019,0.0019
13.2319,-0.9414,-0.9414,-0.9414,0.0066,0.0066,0.0066
13.2687,-0.9375,-0.9375,-0.9375,0.0107,0.0107,0.0107
13.3054,-0.9305,-0.9305,-0.9305,0.0131,0.0131,0.0131
13.3422,-0.9101,-0.9101,-0.9101,0.0164,0.0164,0.0164
13.3789,-0.8858,-0.8858,-0.8858,0.0202,0.0202,0.0202
13.4157,-0.8683,-0.8683,-0.8683,0.0225,0.0225,0.0225
13.4524,-0.8555,-0.8555,-0.8555,0.0267,0.0267,0.0267
13.4892,-0.8427,-0.8427,-0.8427,0.0331,0.0331,0.0331
13.5260,-0.8200,-0.8200,-0.8200,0.0373,0.0373,0.0373
